"Moderator","b_coefficient","SE","p_value","CI_lower","CI_upper"
"any_risk",0.0156230516255193,0.16280653172447,0.928314372287637,-0.442454186616704,0.473700289867743
"year",-0.0129287610367265,0.00921926363626991,0.278109200423014,-0.0473857121899318,0.0215281901164788
"time_lag",0.0110452208762211,0.0295032130066708,0.752985303353286,-0.158771563031595,0.180862004784037
