"Moderator","Variable","N","b_coefficient","SE","p_value","CI_lower","CI_upper"
"year","year_continuous",26,-0.007834,0.004701,0.127933,-0.018372,0.002704
"country","country_binary",26,-0.253862,0.100417,0.026018,-0.471945,-0.03578
"age_t1","age_t1",26,-0.008255,0.010725,0.52899,-0.05924,0.042731
"age_t2","age_t2",26,0.001548,0.00928,0.878428,-0.028545,0.031641
"t2_measure","t2_measure",26,-0.053321,0.090682,0.647327,-0.827851,0.721209
"sample_risk","sample_risk_binary",26,0.057224,0.117695,0.642556,-0.224585,0.339034
"prior_meta","prior_meta_binary",26,-0.16037,0.074749,0.094879,-0.363682,0.042943
"assessment_interval","assessment_interval",26,0.000211,0.000811,0.812624,-0.002433,0.002854
"published","published_binary",26,0.035851,0.120886,0.771659,-0.226323,0.298024
