"Moderator","b_coefficient","SE","p_value","CI_lower","CI_upper"
"measure_type",-0.0807218119706912,0.0963796976630901,0.532951087868722,-0.865173002234074,0.703729378292692
"any_risk",0.0284008993078822,0.130999473014303,0.835919073966154,-0.296347910307399,0.353149708923163
"year",-0.00732369780236077,0.005722958415855,0.247046924219998,-0.0212631002286042,0.00661570462388263
"time_lag",0.00445352706044264,0.0151309604440725,0.793959361283974,-0.055240467850968,0.0641475219718533
