"Moderator","b_coefficient","SE","p_value","CI_lower","CI_upper"
"any_risk",0.00233306515371713,0.0296294270896138,0.942708700474946,-0.0982340598918272,0.102900190199261
"year",0.00114125207990454,0.00251430991868508,0.690761071962769,-0.00878107364261519,0.0110635778024243
"time_lag",0.00630551838422917,0.00150924126407429,0.0700698722185815,-0.00148271946018185,0.0140937562286402
