"Moderator","Variable","N","b_coefficient","SE","p_value","CI_lower","CI_upper"
"year","year_continuous",24,-0.010072,0.005434,0.093699,-0.02219,0.002046
"country","country_binary",24,-0.279327,0.114757,0.033445,-0.532326,-0.026328
"age_t1","age_t1",24,-0.009131,0.010638,0.497816,-0.066084,0.047823
"age_t2","age_t2",24,0.012769,0.013186,0.390897,-0.02477,0.050308
"sample_risk","sample_risk_binary",24,0.057009,0.123568,0.658812,-0.236392,0.35041
"prior_meta","prior_meta_binary",24,-0.169817,0.07602,0.132515,-0.447692,0.108058
"assessment_interval","assessment_interval",24,0.00129,0.001185,0.338721,-0.002027,0.004607
"published","published_binary",24,0.019211,0.132735,0.887541,-0.272913,0.311334
