"Moderator","b_coefficient","SE","p_value","CI_lower","CI_upper"
"any_risk",0.0137357945259714,0.152777241454903,0.931123567356702,-0.354953880849118,0.382425469901061
"year",-0.00903406811490356,0.00640379436342401,0.215545410700634,-0.025332606034164,0.0072644698043569
"time_lag",0.0282419159407666,0.0239184530197651,0.324092908342974,-0.0486178526255217,0.105101684507055
