"Moderator","b_coefficient","SE","p_value","CI_lower","CI_upper"
"any_risk",-0.0457706121090697,0.0485910708401446,0.423231238895425,-0.21154231466905,0.120001090450911
"year",0.00194564348919946,0.00525454057653911,0.738180324489423,-0.0158298631811321,0.019721150159531
"time_lag",0.00670153188001373,0.00814959047236998,0.505273876814612,-0.0322575083908114,0.0456605721508388
